#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.02260  0.00028 -0.00295 -0.23974  0.000059  0.000026  0.004410     2.225
   1.02384  0.00056 -0.00416 -0.33144  0.000062  0.000027  0.005589     2.257
   1.02512  0.00094 -0.00538 -0.42124  0.000062  0.000028  0.007264     2.228
   1.02643  0.00142 -0.00660 -0.50464  0.000066  0.000029  0.007907     2.268
   1.02779  0.00200 -0.00782 -0.58399  0.000068  0.000030  0.009146     2.246
   1.02919  0.00270 -0.00904 -0.65456  0.000073  0.000032  0.009224     2.286
   1.03064  0.00349 -0.01026 -0.71803  0.000076  0.000033  0.009725     2.279
   1.03215  0.00439 -0.01147 -0.77555  0.000081  0.000035  0.009768     2.295
   1.03371  0.00539 -0.01267 -0.82461  0.000087  0.000037  0.009514     2.316
   1.03535  0.00651 -0.01387 -0.87044  0.000091  0.000039  0.009640     2.310
   1.03706  0.00773 -0.01506 -0.90990  0.000098  0.000042  0.009185     2.335
   1.03885  0.00907 -0.01626 -0.94403  0.000104  0.000044  0.008842     2.347
   1.04073  0.01052 -0.01745 -0.97477  0.000110  0.000047  0.008553     2.355
   1.04272  0.01210 -0.01865 -1.00206  0.000117  0.000050  0.008182     2.366
   1.04481  0.01382 -0.01986 -1.02560  0.000125  0.000053  0.007734     2.382
   1.04703  0.01568 -0.02107 -1.04691  0.000133  0.000056  0.007401     2.390
   1.04939  0.01770 -0.02229 -1.06573  0.000141  0.000059  0.007008     2.402
   1.05191  0.01988 -0.02353 -1.08213  0.000150  0.000062  0.006603     2.416
   1.05460  0.02226 -0.02479 -1.09704  0.000159  0.000066  0.006273     2.423
   1.05749  0.02485 -0.02608 -1.11028  0.000169  0.000069  0.005921     2.434
   1.06060  0.02767 -0.02738 -1.12177  0.000179  0.000073  0.005558     2.447
   1.06396  0.03075 -0.02872 -1.13274  0.000189  0.000077  0.005301     2.451
   1.06759  0.03412 -0.03009 -1.14200  0.000201  0.000082  0.004956     2.465
   1.07153  0.03781 -0.03149 -1.15047  0.000213  0.000086  0.004680     2.473
   1.07582  0.04185 -0.03292 -1.15804  0.000226  0.000091  0.004409     2.482
   1.08049  0.04628 -0.03439 -1.16471  0.000239  0.000096  0.004146     2.491
   1.08557  0.05113 -0.03589 -1.17043  0.000253  0.000101  0.003887     2.502
   1.09108  0.05643 -0.03741 -1.17594  0.000267  0.000107  0.003690     2.505
   1.09706  0.06221 -0.03895 -1.18111  0.000282  0.000112  0.003505     2.508
   1.10350  0.06846 -0.04050 -1.18595  0.000291  0.000118  0.003587     2.458
   1.11040  0.07519 -0.04204 -1.18359  0.000274  0.000130  0.005286     2.100
   1.11774  0.08237 -0.04356 -1.18281  0.000263  0.000147  0.006895     1.793
   1.12549  0.08997 -0.04504 -1.18515  0.000274  0.000165  0.007239     1.657
   1.13360  0.09795 -0.04648 -1.18720  0.000294  0.000185  0.007004     1.593
   1.14203  0.10627 -0.04785 -1.18841  0.000318  0.000205  0.006799     1.552
   1.15073  0.11487 -0.04916 -1.18903  0.000345  0.000225  0.006793     1.531
   1.15966  0.12372 -0.05039 -1.18927  0.000374  0.000247  0.006726     1.517
   1.16879  0.13278 -0.05153 -1.18918  0.000405  0.000268  0.006592     1.511
   1.17809  0.14201 -0.05260 -1.18875  0.000437  0.000290  0.006445     1.507
   1.18752  0.15139 -0.05359 -1.18803  0.000470  0.000312  0.006305     1.504
   1.19707  0.16089 -0.05450 -1.18693  0.000502  0.000334  0.006171     1.502
   1.20672  0.17051 -0.05533 -1.18583  0.000535  0.000357  0.006055     1.499
   1.21645  0.18022 -0.05608 -1.18426  0.000568  0.000379  0.005939     1.497
   1.22627  0.19001 -0.05676 -1.18259  0.000601  0.000402  0.005835     1.494
   1.23615  0.19987 -0.05737 -1.18093  0.000633  0.000424  0.005742     1.492
   1.24609  0.20979 -0.05791 -1.17903  0.000666  0.000447  0.005650     1.489
   1.25608  0.21978 -0.05838 -1.17702  0.000699  0.000470  0.005563     1.487
   1.26613  0.22981 -0.05878 -1.17494  0.000733  0.000493  0.005481     1.485
   1.27622  0.23990 -0.05913 -1.17288  0.000766  0.000517  0.005405     1.482
   1.28635  0.25002 -0.05941 -1.17048  0.000800  0.000540  0.005325     1.481
   1.29651  0.26019 -0.05964 -1.16816  0.000833  0.000564  0.005252     1.479
   1.30672  0.27039 -0.05981 -1.16578  0.000867  0.000587  0.005182     1.477
   1.31695  0.28062 -0.05993 -1.16338  0.000901  0.000611  0.005114     1.475
   1.32722  0.29089 -0.06000 -1.16093  0.000936  0.000635  0.005049     1.473
   1.33751  0.30118 -0.06002 -1.15841  0.000970  0.000659  0.004984     1.472
   1.34783  0.31150 -0.05999 -1.15576  0.001005  0.000684  0.004919     1.471
   1.35818  0.32185 -0.05991 -1.15332  0.001040  0.000708  0.004863     1.469
   1.36855  0.33222 -0.05979 -1.15058  0.001075  0.000733  0.004800     1.468
   1.37894  0.34261 -0.05963 -1.14794  0.001111  0.000757  0.004743     1.467
   1.38936  0.35303 -0.05942 -1.14533  0.001146  0.000782  0.004688     1.465
   1.39979  0.36346 -0.05918 -1.14261  0.001182  0.000807  0.004632     1.464
   1.41025  0.37391 -0.05889 -1.14001  0.001218  0.000832  0.004580     1.463
   1.42072  0.38437 -0.05857 -1.13721  0.001254  0.000858  0.004526     1.462
   1.43121  0.39486 -0.05822 -1.13455  0.001291  0.000883  0.004476     1.461
   1.44171  0.40535 -0.05783 -1.13172  0.001328  0.000909  0.004424     1.461
   1.45223  0.41587 -0.05740 -1.12911  0.001364  0.000935  0.004378     1.460
   1.46277  0.42639 -0.05694 -1.12633  0.001401  0.000961  0.004329     1.459
   1.47332  0.43693 -0.05645 -1.12361  0.001439  0.000987  0.004283     1.458
   1.48388  0.44748 -0.05594 -1.12083  0.001477  0.001013  0.004236     1.457
   1.49446  0.45805 -0.05539 -1.11812  0.001514  0.001039  0.004192     1.457
   1.50505  0.46862 -0.05481 -1.11536  0.001552  0.001066  0.004148     1.456
   1.51565  0.47920 -0.05420 -1.11256  0.001591  0.001093  0.004103     1.456
   1.52626  0.48979 -0.05357 -1.10991  0.001629  0.001120  0.004063     1.455
   1.53688  0.50039 -0.05292 -1.10715  0.001668  0.001147  0.004021     1.454
   1.54751  0.51100 -0.05223 -1.10435  0.001707  0.001174  0.003979     1.454
   1.55815  0.52162 -0.05153 -1.10162  0.001747  0.001202  0.003939     1.453
   1.56881  0.53225 -0.05079 -1.09894  0.001786  0.001229  0.003901     1.453
   1.57946  0.54288 -0.05004 -1.09613  0.001826  0.001257  0.003860     1.453
   1.59013  0.55352 -0.04927 -1.09341  0.001866  0.001285  0.003822     1.452
   1.60081  0.56416 -0.04847 -1.09069  0.001907  0.001313  0.003785     1.452
   1.61149  0.57481 -0.04765 -1.08796  0.001947  0.001342  0.003748     1.451
   1.62218  0.58547 -0.04681 -1.08511  0.001989  0.001371  0.003709     1.451
   1.63287  0.59613 -0.04595 -1.08247  0.002030  0.001399  0.003675     1.451
   1.64357  0.60679 -0.04507 -1.07968  0.002072  0.001428  0.003638     1.451
   1.65428  0.61746 -0.04417 -1.07688  0.002115  0.001458  0.003602     1.450
   1.66499  0.62814 -0.04326 -1.07408  0.002158  0.001488  0.003566     1.450
