#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.20672  0.17051 -0.05533      NaN  0.000000  0.000000  0.000000       NaN
   1.21645  0.18022 -0.05608      NaN  0.000000  0.000000  0.000000       NaN
   1.22627  0.19001 -0.05676      NaN  0.000000  0.000000  0.000000       NaN
   1.23615  0.19987 -0.05737      NaN  0.000000  0.000000  0.000000       NaN
   1.24609  0.20979 -0.05791      NaN  0.000000  0.000000  0.000000       NaN
   1.25608  0.21978 -0.05838      NaN  0.000000  0.000000  0.000000       NaN
   1.26613  0.22981 -0.05878      NaN  0.000000  0.000000  0.000000       NaN
   1.27622  0.23990 -0.05913      NaN  0.000000  0.000000  0.000000       NaN
   1.28635  0.25002 -0.05941      NaN  0.000000  0.000000  0.000000       NaN
   1.29651  0.26019 -0.05964      NaN  0.000000  0.000000  0.000000       NaN
   1.30672  0.27039 -0.05981      NaN  0.000000  0.000000  0.000000       NaN
   1.31695  0.28062 -0.05993      NaN  0.000000  0.000000  0.000000       NaN
   1.32722  0.29089 -0.06000      NaN  0.000000  0.000000  0.000000       NaN
   1.33751  0.30118 -0.06002      NaN  0.000000  0.000000  0.000000       NaN
   1.34783  0.31150 -0.05999      NaN  0.000000  0.000000  0.000000       NaN
   1.35818  0.32185 -0.05991      NaN  0.000000  0.000000  0.000000       NaN
   1.36855  0.33222 -0.05979      NaN  0.000000  0.000000  0.000000       NaN
   1.37894  0.34261 -0.05963      NaN  0.000000  0.000000  0.000000       NaN
   1.38936  0.35303 -0.05942      NaN  0.000000  0.000000  0.000000       NaN
   1.39979  0.36346 -0.05918      NaN  0.000000  0.000000  0.000000       NaN
   1.41025  0.37391 -0.05889      NaN  0.000000  0.000000  0.000000       NaN
   1.42072  0.38437 -0.05857      NaN  0.000000  0.000000  0.000000       NaN
   1.43121  0.39486 -0.05822      NaN  0.000000  0.000000  0.000000       NaN
   1.44171  0.40535 -0.05783      NaN  0.000000  0.000000  0.000000       NaN
   1.45223  0.41587 -0.05740      NaN  0.000000  0.000000  0.000000       NaN
   1.46277  0.42639 -0.05694      NaN  0.000000  0.000000  0.000000       NaN
   1.47332  0.43693 -0.05645      NaN  0.000000  0.000000  0.000000       NaN
   1.48388  0.44748 -0.05594      NaN  0.000000  0.000000  0.000000       NaN
   1.49446  0.45805 -0.05539      NaN  0.000000  0.000000  0.000000       NaN
   1.50505  0.46862 -0.05481      NaN  0.000000  0.000000  0.000000       NaN
   1.51565  0.47920 -0.05420      NaN  0.000000  0.000000  0.000000       NaN
   1.52626  0.48979 -0.05357      NaN  0.000000  0.000000  0.000000       NaN
   1.53688  0.50039 -0.05292      NaN  0.000000  0.000000  0.000000       NaN
   1.54751  0.51100 -0.05223      NaN  0.000000  0.000000  0.000000       NaN
   1.55815  0.52162 -0.05153      NaN  0.000000  0.000000  0.000000       NaN
   1.56881  0.53225 -0.05079      NaN  0.000000  0.000000  0.000000       NaN
   1.57946  0.54288 -0.05004      NaN  0.000000  0.000000  0.000000       NaN
   1.59013  0.55352 -0.04927      NaN  0.000000  0.000000  0.000000       NaN
   1.60081  0.56416 -0.04847      NaN  0.000000  0.000000  0.000000       NaN
